zip_code,feature,label,count,price_lift,dom_delta,listings,updated_at
27006,basement,Basement,85,29472.841707427113,0.0,257,2025-11-10T03:57:16.215695
27007,basement,Basement,6,29311.05932547155,6.5,15,2025-11-10T03:57:16.466455
27009,basement,Basement,18,80960.23566533455,3.0,45,2025-11-10T03:57:16.544286
27011,basement,Basement,17,61791.939193611586,-7.0,46,2025-11-10T03:57:16.647111
27012,basement,Basement,249,79905.35767001961,-1.0,608,2025-11-10T03:57:17.235920
27017,basement,Basement,30,42550.0,1.0,67,2025-11-09T22:51:13.270477
27018,basement,Basement,23,24450.0,1.0,68,2025-11-09T22:51:13.377556
27019,basement,Basement,25,79900.0,0.0,53,2025-11-09T22:51:13.477283
27103,basement,Basement,380,23500.0,0.0,825,2025-11-09T23:00:36.722382
27205,basement,Basement,87,52882.235549039964,0.4209757446449771,459,2025-11-10T04:03:53.479678
27408,basement,Basement,54,5.492358839663211,0.2164145923262879,304,2025-11-10T06:23:07.807023
27410,basement,Basement,50,-3507.810491188895,-0.06055388888609059,354,2025-11-10T06:23:08.667652
27455,basement,Basement,25,-41297.69401064754,-0.06281308234289895,274,2025-11-10T06:23:09.539171
27006,deck_patio,Deck or patio,183,-20450.006760565506,0.0,257,2025-11-10T03:57:16.215695
27007,deck_patio,Deck or patio,6,-10324.983676258897,6.5,15,2025-11-10T03:57:16.466455
27009,deck_patio,Deck or patio,33,101138.97116873044,0.0,45,2025-11-10T03:57:16.544286
27011,deck_patio,Deck or patio,15,26648.510930253193,7.0,46,2025-11-10T03:57:16.647111
27012,deck_patio,Deck or patio,483,38707.976632090285,-1.0,608,2025-11-10T03:57:17.235920
27014,deck_patio,Deck or patio,5,-2450.0,-10.5,8,2025-11-09T22:51:13.169532
27016,deck_patio,Deck or patio,10,20250.0,-15.0,18,2025-11-09T22:51:13.198583
27017,deck_patio,Deck or patio,15,90099.0,0.0,67,2025-11-09T22:51:13.270477
27018,deck_patio,Deck or patio,25,39550.0,3.0,68,2025-11-09T22:51:13.377556
27019,deck_patio,Deck or patio,32,5944.5,1.5,53,2025-11-09T22:51:13.477283
27103,deck_patio,Deck or patio,565,5000.0,0.0,825,2025-11-09T23:00:36.722382
27205,deck_patio,Deck or patio,289,43264.22009930873,-0.3860015335527578,459,2025-11-10T04:03:53.479678
27408,deck_patio,Deck or patio,164,13430.182587154326,-0.30663219942795195,304,2025-11-10T06:23:07.807023
27410,deck_patio,Deck or patio,228,13310.654803722107,-0.0482941080516639,354,2025-11-10T06:23:08.667652
27455,deck_patio,Deck or patio,199,21491.46207152173,-0.11524134960475862,274,2025-11-10T06:23:09.539171
27408,fireplace,Fireplace (indoor/outdoor),210,34897.69830016926,0.15626176849460194,304,2025-11-10T06:23:07.807023
27410,fireplace,Fireplace (indoor/outdoor),292,-5466.422471806465,-0.04907963912989999,354,2025-11-10T06:23:08.667652
27455,fireplace,Fireplace (indoor/outdoor),232,23851.249117354542,-0.17005731078197073,274,2025-11-10T06:23:09.539171
27006,garage_parking,Garage parking,210,85924.89103782485,0.0,257,2025-11-10T03:57:16.215695
27009,garage_parking,Garage parking,21,95532.71533089707,10.0,45,2025-11-10T03:57:16.544286
27011,garage_parking,Garage parking,11,40546.43114329444,0.0,46,2025-11-10T03:57:16.647111
27012,garage_parking,Garage parking,373,75910.91813300125,-1.0,608,2025-11-10T03:57:17.235920
27017,garage_parking,Garage parking,11,135099.0,7.0,67,2025-11-09T22:51:13.270477
27018,garage_parking,Garage parking,25,43550.0,0.0,68,2025-11-09T22:51:13.377556
27019,garage_parking,Garage parking,18,42450.0,0.0,53,2025-11-09T22:51:13.477283
27103,garage_parking,Garage parking,295,30000.0,0.0,825,2025-11-09T23:00:36.722382
27205,garage_parking,Garage parking,169,97906.40281188735,0.09303911581841362,459,2025-11-10T04:03:53.479678
27408,garage_parking,Garage parking,69,6624.327935175737,0.07473204810224843,304,2025-11-10T06:23:07.807023
27410,garage_parking,Garage parking,180,25912.81918630228,0.04852289598744619,354,2025-11-10T06:23:08.667652
27455,garage_parking,Garage parking,153,75423.63065443444,-0.19895941332609368,274,2025-11-10T06:23:09.539171
27006,pool,Private pool,23,115634.01503542636,-7.0,257,2025-11-10T03:57:16.215695
27012,pool,Private pool,25,76239.36647413747,-8.0,608,2025-11-10T03:57:17.235920
27103,pool,Private pool,9,64999.0,5.0,825,2025-11-09T23:00:36.722382
27205,pool,Private pool,14,25818.64522318961,0.19523327451953776,459,2025-11-10T04:03:53.479678
27408,pool,Private pool,6,12532.021711322595,-0.10376931121990651,304,2025-11-10T06:23:07.807023
27410,pool,Private pool,14,-2621.997458781145,-0.047760029809865046,354,2025-11-10T06:23:08.667652
27455,pool,Private pool,8,-21817.456158505665,0.05592457416213392,274,2025-11-10T06:23:09.539171
27408,screened_porch,Screened porch,91,-10975.586817990174,0.15695007108763548,304,2025-11-10T06:23:07.807023
27410,screened_porch,Screened porch,88,1712.4620429262286,-0.08284552837636738,354,2025-11-10T06:23:08.667652
27455,screened_porch,Screened porch,53,33937.38276849664,0.06437045129419516,274,2025-11-10T06:23:09.539171
27408,walk_up_attic,Walk-up attic storage,30,11985.175020153867,-0.04463574652697844,304,2025-11-10T06:23:07.807023
27410,walk_up_attic,Walk-up attic storage,22,-381.8570246360614,-0.0018965155524028887,354,2025-11-10T06:23:08.667652
27455,walk_up_attic,Walk-up attic storage,17,31210.513685399434,-0.12776701984864758,274,2025-11-10T06:23:09.539171
