zip_code,beds_bucket,baths_bucket,sqft_bucket,listings,avg_prob,dom_median
27101,2,1.0,<=1.4k,44,0.6537,43.0
27127,3,2.0,1.8-2.2k,52,0.6486346153846154,47.0
27012,3,2.0,1.8-2.2k,56,0.6442178571428572,47.0
27107,3,2.0,<=1.4k,81,0.6419222222222222,47.0
27107,2,1.0,<=1.4k,91,0.6395879120879121,47.0
27282,3,2.0,1.8-2.2k,41,0.6389512195121951,54.0
27403,2,1.0,<=1.4k,80,0.63883625,47.0
27405,3,2.0,<=1.4k,65,0.6356046153846154,60.0
27107,3,2.0,1.8-2.2k,41,0.6352292682926829,47.0
27107,3,2.0,1.4-1.8k,99,0.6345040404040404,47.0
27104,2,2.0,<=1.4k,80,0.63369875,39.5
27103,3,2.0,1.8-2.2k,71,0.6329521126760563,40.0
27104,3,2.0,1.4-1.8k,67,0.6319,39.5
